expense_id;belongs_to_vendor_id;date;amount;purchase_order;distribution_id_suggested;distribution_name;distribution_score;distribution_ambiguous;project_id_suggested;project_label;project_score;project_ambiguous;action;reason
26040;1;2025-12-06;-17,59;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
26027;1;2025-12-05;505,99;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
26009;1;2025-12-03;10,59;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
26010;1;2025-12-03;505,99;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
26011;1;2025-12-03;19,79;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
26004;1;2025-12-02;7,69;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25954;1;2025-11-29;3,99;;;;;;;;;;skip;missing_po
25929;1;2025-11-27;27,48;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25908;1;2025-11-25;17,59;"Not Greg hom";2;"Greg - Home";0.807;0;;;;;match_distribution;
25909;1;2025-11-25;-9,35;Ofice;1;OFFICE;0.833;0;;;;;match_distribution;
25904;1;2025-11-24;35,52;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25896;1;2025-11-23;16,50;"Not Greg home";2;"Greg - Home";0.820;0;;;;;match_distribution;
25895;1;2025-11-22;15,35;"Not Greg home";2;"Greg - Home";0.820;0;;;;;match_distribution;
25878;1;2025-11-19;38,49;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25879;1;2025-11-19;52,70;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25880;1;2025-11-19;49,93;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25868;1;2025-11-16;3,79;;;;;;;;;;skip;missing_po
25864;1;2025-11-15;9,35;Ofice;1;OFFICE;0.833;0;;;;;match_distribution;
25865;1;2025-11-15;31,47;Ofice;1;OFFICE;0.833;0;;;;;match_distribution;
25857;1;2025-11-14;22,24;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25858;1;2025-11-14;121,05;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25843;1;2025-11-10;24,18;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25837;1;2025-11-08;76,41;Office;1;OFFICE;1.000;0;;;;;match_distribution;
25828;1;2025-11-07;36,45;"Greg home";2;"Greg - Home";1.000;0;;;;;match_distribution;
25795;1;2025-11-05;54,88;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25796;1;2025-11-05;76,97;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25791;1;2025-11-03;-131,37;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25792;1;2025-11-03;-26,86;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25788;1;2025-11-02;17,59;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25761;1;2025-10-30;35,93;"Not Greg home";2;"Greg - Home";0.820;0;;;;;match_distribution;
25762;1;2025-10-30;16,49;"Greg home";2;"Greg - Home";1.000;0;;;;;match_distribution;
25749;1;2025-10-29;29,27;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25724;1;2025-10-27;40,14;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25725;1;2025-10-27;38,49;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25726;1;2025-10-27;131,37;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25716;1;2025-10-26;32,43;Ofice;1;OFFICE;0.833;0;;;;;match_distribution;
25717;1;2025-10-26;26,86;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25713;1;2025-10-24;34,64;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25706;1;2025-10-23;16,49;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25696;1;2025-10-22;74,78;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25691;1;2025-10-21;39,04;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25647;1;2025-10-14;32,77;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25648;1;2025-10-14;49,49;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25629;1;2025-10-13;45,46;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25633;1;2025-10-13;31,37;Ofice;1;OFFICE;0.833;0;;;;;match_distribution;
25625;1;2025-10-11;24,54;"Greg home";2;"Greg - Home";1.000;0;;;;;match_distribution;
25626;1;2025-10-11;89,09;Ofice;1;OFFICE;0.833;0;;;;;match_distribution;
25586;1;2025-10-10;27,50;Ofice;1;OFFICE;0.833;0;;;;;match_distribution;
25581;1;2025-10-07;47,29;"400 wheeling";;;;;317;"400 N Wheeling Rd Primary Bedroom";0.920;1;skip;ambiguous_project
25574;1;2025-10-06;-24,19;patryk;3;"Patryk - Home";0.936;0;;;;;match_distribution;
25580;1;2025-10-06;45,09;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25573;1;2025-10-05;-49,75;177r;;;;;321;"177 Midmar Ln Home Remodel";0.920;1;skip;ambiguous_project
25572;1;2025-10-04;59,94;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25569;1;2025-10-03;53,89;Office;1;OFFICE;1.000;0;;;;;match_distribution;
25551;1;2025-10-01;17,46;901;;;;;188;"901 W Isabella St Bathrooms";0.920;1;skip;ambiguous_project
25523;1;2025-09-27;9,04;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25463;1;2025-09-25;21,11;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25368;1;2025-09-12;32,84;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25317;1;2025-09-07;9,56;Greg;2;"Greg - Home";0.922;0;;;;;match_distribution;
25319;1;2025-09-07;3,89;;;;;;;;;;skip;missing_po
25236;1;2025-08-28;179,63;patryk;3;"Patryk - Home";0.936;0;;;;;match_distribution;
25202;1;2025-08-26;57,26;"Patryk home";3;"Patryk - Home";1.000;0;;;;;match_distribution;
25194;1;2025-08-23;3,79;;;;;;;;;;skip;missing_po
25188;1;2025-08-22;-40,65;Ofice;1;OFFICE;0.833;0;;;;;match_distribution;
