belongs_to_vendor_id,vendor_id,vendor_name,amount,a_date,b_date,days_diff,a_id,b_id,a_tx,b_tx
1,169,"Clark Haus",21.42,2023-08-10,2023-08-10,0,19099,19198,1,0
1,97,"Illinois Tollway",40.00,2020-09-30,2020-10-01,1,9623,9624,1,0
1,97,"Illinois Tollway",40.00,2020-09-18,2020-09-19,1,9512,9519,1,0
1,97,"Illinois Tollway",40.00,2020-09-05,2020-09-05,0,9387,9391,0,1
1,97,"Illinois Tollway",40.00,2020-09-05,2020-09-06,1,9387,9392,0,0
1,97,"Illinois Tollway",40.00,2020-09-05,2020-09-06,1,9391,9392,1,0
1,97,"Illinois Tollway",40.00,2020-09-04,2020-09-05,1,9379,9387,1,0
1,97,"Illinois Tollway",40.00,2020-09-04,2020-09-06,2,9379,9392,1,0
1,97,"Illinois Tollway",40.00,2020-09-03,2020-09-04,1,9326,9379,0,1
1,97,"Illinois Tollway",40.00,2020-09-03,2020-09-02,-1,9326,9380,0,1
1,97,"Illinois Tollway",40.00,2020-09-03,2020-09-05,2,9326,9387,0,0
1,97,"Illinois Tollway",40.00,2020-09-03,2020-09-05,2,9326,9391,0,1
1,97,"Illinois Tollway",40.00,2020-09-03,2020-09-06,3,9326,9392,0,0
1,97,"Illinois Tollway",40.00,2020-09-02,2020-09-05,3,9380,9387,1,0
1,97,"Illinois Tollway",40.00,2020-09-02,2020-09-06,4,9380,9392,1,0
1,97,"Illinois Tollway",40.00,2020-08-29,2020-09-03,5,9310,9326,0,0
1,97,"Illinois Tollway",40.00,2020-08-29,2020-09-02,4,9310,9380,0,1
1,97,"Illinois Tollway",40.00,2020-08-29,2020-08-28,-1,9310,9381,0,1
1,97,"Illinois Tollway",40.00,2020-08-29,2020-08-27,-2,9310,9382,0,1
1,97,"Illinois Tollway",40.00,2020-08-29,2020-08-24,-5,9310,9383,0,1
1,97,"Illinois Tollway",40.00,2020-08-28,2020-08-29,1,9302,9310,0,0
1,97,"Illinois Tollway",40.00,2020-08-28,2020-09-02,5,9302,9380,0,1
1,97,"Illinois Tollway",40.00,2020-08-28,2020-08-28,0,9302,9381,0,1
1,97,"Illinois Tollway",40.00,2020-08-28,2020-08-27,-1,9302,9382,0,1
1,97,"Illinois Tollway",40.00,2020-08-28,2020-08-24,-4,9302,9383,0,1
1,97,"Illinois Tollway",40.00,2020-08-28,2020-08-23,-5,9302,9384,0,1
1,97,"Illinois Tollway",40.00,2020-08-26,2020-08-28,2,9258,9302,0,0
1,97,"Illinois Tollway",40.00,2020-08-26,2020-08-29,3,9258,9310,0,0
1,97,"Illinois Tollway",40.00,2020-08-26,2020-08-28,2,9258,9381,0,1
1,97,"Illinois Tollway",40.00,2020-08-26,2020-08-27,1,9258,9382,0,1
1,97,"Illinois Tollway",40.00,2020-08-26,2020-08-24,-2,9258,9383,0,1
1,97,"Illinois Tollway",40.00,2020-08-26,2020-08-23,-3,9258,9384,0,1
